date,key,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,income_support,debt_relief,fiscal_measures,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,pos_rate
2021-01-22,US_MD,2,2,2,4,0,1,2,1,2,NA,3,2,NA,NA,4,2,0.0460866721806536
2021-01-22,US_ME,1,1,1,3,1,1,2,1,1,0,3,2,0,0,3,2,0.06370192307692307
2021-01-22,US_MI,2,2,1,4,1,1,1,1,1,0,3,2,0,0,3,2,0.056933913589663064
2021-01-22,US_MN,2,1,1,4,1,1,1,1,1,NA,3,1,NA,NA,2,2,0.038467432950191574
2021-01-22,US_MO,1,1,2,4,0,2,1,2,1,NA,3,1,NA,NA,3,3,0.09101117860241947
2021-01-22,US_MS,2,1,1,4,0,1,1,1,1,NA,1,1,NA,NA,3,2,1
2021-01-22,US_MT,2,1,1,3,0,2,1,1,1,NA,3,1,NA,NA,3,3,0.057151021574510644
2021-01-22,US_NC,2,2,1,4,1,2,2,1,2,NA,2,1,NA,NA,4,2,0.10645059695937241
2021-01-22,US_ND,1,1,1,0,0,1,1,1,1,NA,2,2,NA,NA,3,3,0.04776915615906886
2021-01-22,US_NE,1,1,1,0,1,1,1,1,2,NA,3,2,NA,NA,2,3,0.03799973611294366
2021-01-22,US_NH,2,1,1,0,0,1,2,1,1,NA,3,1,NA,NA,3,2,0.07785282616423747
2021-01-22,US_NJ,2,1,1,4,0,1,1,1,2,NA,3,2,NA,NA,3,3,0.08386916410399776
2021-01-22,US_NM,2,2,2,4,2,1,2,1,1,NA,3,2,NA,NA,3,3,0.0580377117289869
2021-01-22,US_NV,2,1,1,4,0,1,1,1,1,NA,3,1,NA,NA,3,2,0.13990568156299124
2021-01-22,US_NY,2,2,2,4,1,1,2,2,2,NA,3,2,NA,NA,3,2,0.05650725183861254
2021-01-22,US_OH,2,1,1,4,0,2,1,1,1,NA,3,2,NA,NA,3,2,0.07158754329891731
2021-01-22,US_OK,2,1,1,0,1,1,1,1,1,NA,3,1,NA,NA,3,2,0.12427757856992196
2021-01-22,US_OR,2,2,2,4,0,1,1,1,2,0,2,1,0,0,3,3,0.04130423977334858
2021-01-22,US_PA,2,1,1,2,0,1,2,1,1,0,3,2,0,0,3,3,0.08579097089407113
2021-01-22,US_RI,1,2,1,4,0,1,2,1,2,NA,3,2,NA,NA,3,2,0.042271714922048995
2021-01-22,US_SC,2,1,1,2,0,1,1,1,1,0,3,2,0,0,3,2,0.12272632239180431
2021-01-22,US_SD,1,1,1,0,0,1,1,1,1,0,2,1,NA,NA,2,2,0.14690841469084148
2021-01-22,US_TN,2,2,1,4,1,1,1,1,1,0,3,1,0,0,3,2,0.14970898106535033
2021-01-22,US_TX,2,2,2,4,0,1,1,1,1,NA,1,1,NA,NA,3,3,0.19076741639289024
2021-01-22,US_UT,2,1,1,0,0,1,1,1,1,0,2,1,0,0,2,2,0.21376694641704325
2021-01-22,US_VA,2,1,2,4,0,2,1,1,2,0,3,2,0,0,3,3,0.16671356783919597
2021-01-22,US_VT,2,2,2,4,0,1,2,2,2,NA,3,2,NA,NA,3,2,0.016012165667769925
2021-01-22,US_WA,2,2,2,4,1,1,1,1,2,0,2,1,0,0,3,2,0.07265197248350413
2021-01-22,US_WI,2,1,1,4,1,1,1,1,1,0,3,1,0,0,3,2,0.05716909939430047
2021-01-22,US_WV,2,1,2,3,0,1,1,1,1,0,3,2,0,0,3,3,0.051461867684215956
2021-01-23,US_AK,2,1,2,4,0,1,2,1,1,0,3,1,0,0,3,2,0.049204920492049206
2021-01-23,US_AL,2,1,1,0,1,1,1,1,1,0,3,1,0,0,3,2,0.2764274532421521
2021-01-23,US_AR,2,2,1,4,1,1,1,1,1,NA,3,2,NA,NA,3,3,0.145407013431894
2021-01-23,US_AZ,2,2,2,3,0,1,1,1,1,0,3,2,0,0,3,2,0.13216750370343608
2021-01-23,US_CA,3,2,2,4,0,2,2,2,2,0,3,1,0,0,3,2,0.09870230882593745
2021-01-23,US_CO,2,1,2,4,1,2,1,1,2,NA,2,1,NA,NA,3,2,0.054758508823447155
2021-01-23,US_DC,1,1,2,4,0,1,2,1,2,NA,3,2,NA,NA,3,3,0.04835924006908463
2021-01-23,US_DE,2,2,1,4,0,1,1,1,2,NA,3,2,NA,NA,4,1,0.8383458646616542
2021-01-23,US_FL,2,1,1,4,0,2,1,1,1,0,2,1,0,0,3,2,0.0563653517306445
2021-01-23,US_GA,2,1,1,3,0,2,1,1,2,0,3,1,NA,NA,2,2,0.17145637737577285
2021-01-23,US_HI,2,2,2,4,1,2,2,1,2,0,3,2,0,0,3,2,0.02673904302372336
2021-01-23,US_IA,3,1,1,0,0,1,1,2,1,NA,2,1,NA,NA,3,2,0.2854583457748582
2021-01-23,US_ID,1,1,2,4,0,1,1,1,1,NA,2,1,NA,NA,3,2,0.24230145867098865
2021-01-23,US_IL,3,1,1,4,0,1,2,1,2,NA,3,1,NA,NA,3,2,0.04676069632776053
2021-01-23,US_IN,2,1,1,4,0,1,2,1,1,0,2,2,NA,NA,2,2,0.06315209179819099
2021-01-23,US_KY,2,1,1,4,2,1,1,1,1,0,3,2,0,0,3,2,0.20729839150891782
2021-01-23,US_MA,2,2,2,4,1,1,2,1,1,0,3,2,0,0,4,2,0.041293341993576
2021-01-23,US_MD,2,2,2,4,0,1,2,1,2,NA,3,2,NA,NA,4,2,0.050156213960705374
2021-01-23,US_ME,1,1,1,3,1,1,2,1,1,0,3,2,0,0,3,2,0.05084745762711865
2021-01-23,US_MI,2,2,1,4,1,1,1,1,1,0,3,2,0,0,3,2,0.033861845155308296
2021-01-23,US_MN,2,1,1,4,1,1,1,1,1,NA,3,1,NA,NA,2,2,0.03924566768603466
2021-01-23,US_MO,1,1,2,4,0,2,1,2,1,NA,3,1,NA,NA,3,3,0.09591407135531926
2021-01-23,US_MS,2,1,1,4,0,1,1,1,1,NA,1,1,NA,NA,3,2,1
2021-01-23,US_MT,2,1,1,3,0,2,1,1,1,NA,3,1,NA,NA,3,3,0.05168957617411225
